fichier,dossier,cle,nom_pdf,statut,id_1,cand_1,id_2,cand_2,id_3,cand_3,id_retenu
6202a01b454ed06e74414cfd_Catalogue NUMA - 2022 I Website.pdf,Suppliers Catalogues,6202a01b454ed06e74414cfd Catalogue NUMA     I Website,,aucun,,,,,,,
2026 AIDY Catalog.pdf,All Catalogues 220926,AIDY,,aucun,,,,,,,
2026 AIMOWELL CATALOG.pdf,All Catalogues 220926,AIMOWELL,"CHANGZHOU AIMOWELL TECHNOLOGY CO.,LTD",aucun,,,,,,,
Air Seat.pdf,All Catalogues 220926,Air Seat,,aucun,,,,,,,
2026 ALX&DCH CATALOG.pdf,All Catalogues 220926,ALX DCH,佛山鑫风之子车业有限公司 | 广州风之子车业有限公司,aucun,,,,,,,
2026 AOMC CATALOG.pdf,All Catalogues 220926,AOMC,"Hebei Aoming Chain Technology Co., Ltd.",aucun,,,,,,,
2026 AOYUAN CATALOG.pdf,All Catalogues 220926,AOYUAN,,aucun,,,,,,,
APSE ARTEK Catalog 2025 web.pdf,Suppliers Catalogues,APSE ARTEK,"APSE BENGBU APSE TECHNOLOGY CO.,LTD.",à valider,official_1282,"BENGBU FURUI ELECTROMECHANICAL TECHNOLOGY CO., LTD. [FURUI BICYCLE] W2 W2-1436 · 0.80 token:bengbu ← APSE BENGBU APSE TECHNOLO",,,,,
2026 APTUM QUOTATION -motorcycle parts 2.xls,All Catalogues 220926,APTUM    motorcycle parts,,à valider,official_998,"JIEYANG&nbsp;TIEQI&nbsp;MOTORCYCLE&nbsp;ACCESSORIES&nbsp;TRADING&nbsp;CO., LTD. [JIEYANG&NBSP TIEQI&NBSP] N1 N1-1244 · 0.80 token:motorcycle ← APTUM    motorcycle parts",,,,,
ATOKEY LOCK 2026.pdf,All Catalogues 220926,ATOKEY LOCK,,aucun,,,,,,,
2026 Avian EN CATALOG.pdf,All Catalogues 220926,Avian,,aucun,,,,,,,
2026 BATFOX Catalog.pdf,All Catalogues 220926,BATFOX,,aucun,,,,,,,
Battery catalog.pdf,Suppliers Catalogues,Battery,,à valider,official_564,"JOYCUBE BATTERY CO., LTD. [JOYCUBE] E5 E5-0916 · 0.90 en⊇ ← Battery",official_566,"QINHUANGDAO XINCHI PHOTOELECTRICITY TECHNOLOGY CO., LTD. [SINC LITHIUM BATTERY] E5 E5-0926 · 0.90 brand⊇ ← Battery",official_636,"WANDA BATTERY INTELLIGENT TECHNOLOGY (KUNSHAN) CO., LTD. [WANDA BATTERY] E6 E6-0145 · 0.90 en⊇ ← Battery",
2026 BeeBIKE QUOTATION-bottle.pdf,All Catalogues 220926,BeeBIKE   bottle,,à valider,official_446,"GANZHOU BOTTLE CAGE BICYCLE CO., LTD. [GANZHOU BOTTLE] E4 E4-1244 · 0.80 token:bottle ← BeeBIKE   bottle",,,,,
2026 BEIINA CATALOG.pdf,All Catalogues 220926,BEIINA,,aucun,,,,,,,
2026 BILEMIMA CATALOG 1.pdf,All Catalogues 220926,BILEMIMA,,aucun,,,,,,,
2026 Bleeq Up AI sport glasses.pdf,All Catalogues 220926,Bleeq Up AI sport glasses,,aucun,,,,,,,
2026 BONE CATALOG.pdf,All Catalogues 220926,BONE,,aucun,,,,,,,
2026 BOSHING CATALOG.pdf,All Catalogues 220926,BOSHING,,aucun,,,,,,,
2026 BOWOD CATALOG.pdf,All Catalogues 220926,BOWOD,,aucun,,,,,,,
BTR catalog.pdf,Suppliers Catalogues,BTR,"Shenzhen BTR Electrinic Co.,Ltd.",aucun,,,,,,,
BURTONO clothes 4.pdf,All Catalogues 220926,BURTONO clothes,"Guangzhou Burtono Sports Equipment Co.,Ltd",aucun,,,,,,,
2026 Chang Tong CATALOG.pdf,All Catalogues 220926,Chang Tong,,à valider,official_1138,"CHING TONG SHAN ENTERPRISE (HUIZHOU) CO., LTD. [CHING TONG] W1 W1-0738 · 0.75 fuzzy0.90 ← Chang Tong",,,,,
Changzhou Borui.pdf,All Catalogues 220926,Changzhou Borui,,aucun,,,,,,,
