id,brand,company_en,company_cn,hall,booth,url_candidate,page_title,evidence,keep (y/n)
official_1050,RIDUCK,BUILDVIEW LIMITED,创文集团有限公司,N1,N1-1704,https://riduck.com,이 그대로 붙는다. iOS 16.4+ 는 매니페스트를 읽는다(실측: iOS 18 에서 start_url 이 반영됐다). 그 이전 버전은 읽지 않으므로 apple- 접두사 메타가 폴백으로 필요하다. --> <meta ,brand-in-title:RIDUCK; cycling:cycling; reverify:cycling-hits:4,
official_1090,ABC,"SHENZHEN WEITEBAO TRADING CO., LTD.",深圳威特豹贸易有限公司,W1,W1-0001,https://abc.com,ABC Network - ABC.com,brand-in-title:ABC; cycling:helmet; reverify:cycling-hits:0,
official_110,KINESIS,"KINESIS INDUSTRY CO., LTD.",广州经济技术开发区卜威工业有限公司,E2,E2-0134,https://kinesis-ergo.com,"Kinesis Ergonomic Keyboards, Mice and Input Solutions","brand-in-title:KINESIS; en-in-title:KINESIS; cycling:pedal,pedals; reverify:cycling-hits:0",
official_1147,SAITELITE RUSH,"FOREVER NEW ENERGY TECHNOLOGY (TIANJIN) CO., LTD.",永久新能源科技（天津）有限公司,W1,W1-0931,https://www.forever.com,Permanent Cloud Storage | FOREVER.com,en-in-title:FOREVER; cycling:bicycle; reverify:cycling-hits:1,
official_1211,GREAT COMBINATION,"GREAT COMBINATION ENTERPRISE CO., LTD.",综和企业股份有限公司,W1,W1-1818,https://www.greatbike.com,greatbike.com | Automotive News & Trends,en-in-title:GREAT; cycling:bike; reverify:cycling-hits:6,
official_1241,AMANI VEHICLE,"HEBEI AMANI VEHICLE INDUSTRY CO., LTD.",河北阿玛尼车业有限公司,W2,W2-0528,https://milan-at.squarespace.com,Amani Toomer,en-in-title:AMANI; cycling:cycling; reverify:cycling-hits:2,
official_1256,HEBEI HONOR,HEBEI HONOR MECHANICAL MOULD INC.,河北欧耐机械模具股份有限公司,W2,W2-0901,https://www.honor.com/fr/?host=honor.com,HONOR France,en-in-title:HONOR; cycling:e-bike; reverify:cycling-hits:16,
official_1345,TPT,TPT CYCLE (TIANJIN) LIMITED,天津荣知园自行车有限公司,W3,W3-0726,https://www.teacherspayteachers.com,Teaching Resources &amp; Lesson Plans | TPT,brand-in-title:TPT; cycling:helmet; reverify:cycling-hits:0,
official_1458,DALISHI,"BEIJING HONOR TRADE CO., LTD.",北京欧耐经贸有限公司,W4,W4-1321,https://www.honor.com/fr/?host=honor.com,HONOR France,en-in-title:HONOR; cycling:e-bike; reverify:cycling-hits:16,
official_348,POWER,"JINHUA POWER RIM CO., LTD.",金华市帕威尔车圈有限公司,E4,"E4-0001, E7-1717",https://www.power.com/?segment=none,Homepage | Power Integrations,brand-in-title:POWER; cycling:ebike; reverify:cycling-hits:5,
official_536,DITAI,"SHENZHEN DIGITECH CO., LTD.",深圳市迪太科技有限公司,E5,E5-0137,https://digitech.com,DigiTech Home - DigiTech,"en-in-title:DIGITECH; cycling:pedal,pedals; reverify:cycling-hits:0",
official_784,CYCLISTS NETWORKING,"CYCLISTS' NETWORKING SPORTS TECHNOLOGY CO., LTD.",骑友网（杭州）体育科技有限公司,E7,E7-1242,https://cyclists.com,Cyclists.com – The Global Library of Great Cycling Routes,"en-in-title:CYCLISTS; cycling:bike,cycling,cyclist; reverify:cycling-hits:209",
official_790,LIMA,"HEBEI LIMMA ELECTRIC VEHICLE CO., LTD.",河北黎玛电动车有限公司,E7,"E7-1314, E5-1729",https://limabike.com,LimaBIKE | Salida GRATUITA todos los Domingos de cada Mes.,brand-in-title:LIMA; cycling:bike; reverify:cycling-hits:1,
official_836,K-LITE,"K-LITE (SHANGHAI) INDUSTRIAL CO., LTD.",上海科光实业有限公司,E7,E7-1725,https://www.klite.com,KLITE 101.7 |,brand-in-body:K-LITE; en-in-title:LITE; cycling:handlebars; reverify:cycling-hits:0,
official_86,TONG FENG,"HANGZHOU NOVICH MACHINERY TECHNOLOGY CO., LTD.",杭州诺维奇机械科技有限公司,E1,E1-1815,https://www.novich.com,The Novich Homepage,en-in-title:NOVICH; cycling:bike; reverify:cycling-hits:1,
official_902,HONOR THE,"BEIJING HONOR THE UNKNOWN TECHNOLOGY CO., LTD.",北京致敬未知科技有限公司,N1,N1-0147,https://www.honor.com/fr/?host=honor.com,HONOR France,en-in-title:HONOR; cycling:e-bike; reverify:cycling-hits:16,
official_994,EVIC,"HUIZHOU EVIC ELECTRONIC CO., LTD.",惠州市亿瑞科电子有限公司,N1,N1-1238,http://www.evic.cn,【电车信息网】电车最新报价_电车价格查询_电车信息网 www.evic.cn,"brand-in-title:EVIC; en-in-title:EVIC; cycling:轮胎,刹车; reverify:cycling-hits:0",
