Category (English),Category (Chinese),ID
Complete Bikes,自行车整车,775658476235001856
"Frames, Forks & Parts",车架、前叉及零件,775658466927841280
"Tires, Rims & Parts",轮胎、轮圈及零件,775658469746413568
Transmissions & Parts,传动零件,775658468811083776
Steering & Components,操控零件组,775658470656577536
Accessories,配件,775658471579324416
Machinery & Tools,机械设备及工具,775658472514654208
Cycling/Outdoor Products,骑行、户外用品,775658465627607040
Electric Bicycle,电动自行车整车,775658467863171072
Electric Bicycle / Motorcycle,电动自行车及零配件,775658474360147968
