Company Name (English),Company Name (Chinese),Booth/Hall Number,Hall Name (English),Hall Name (Chinese),All Booths,ID
"LANXI JIEKE SPORTS APPARATUS MANUFACTURING CO., LTD.",兰溪市捷克运动器材制造有限公司,E1,Bicycles,整车品牌馆,E1-0001,official_0
REBORN BICYCLE COMPANY LTD.,深圳市松展商贸有限公司,E1,Bicycles,整车品牌馆,E1-0009,official_1
"NINGBO K.S.D. VEHICLE ACCESSORIES CO., LTD.",宁波市镇海凯盛达车辆配件有限公司,E1,Bicycles,整车品牌馆,E1-0011,official_2
ANHUI ELITE INDUSTRIAL,安徽易瑞德实业有限公司,E1,Bicycles,整车品牌馆,E1-0013,official_3
"HEBEI XUHUA BICYCLE CO., LTD.",邢台旭华车业有限公司,E1,Bicycles,整车品牌馆,E1-0015,official_4
"XINGTAI WEILIAN BICYCLE CO., LTD.",邢台市唯链自行车有限公司,E1,Bicycles,整车品牌馆,E1-0017,official_5
EAST SUN,同心石（上海）贸易有限公司,E1,Bicycles,整车品牌馆,E1-0019,official_6
"DONGGUAN ZHIYU TECHNOLOGY CO., LTD.",东莞智宇科技有限公司,E1,Bicycles,整车品牌馆,E1-0022,official_7
"DFS TECH (SHENZHEN) CO., LTD.",深圳市东升创科技有限公司,E1,Bicycles,整车品牌馆,E1-0023,official_8
"TIANJIN KEYO BICYCLE CO., LTD.",天津凯欧自行车有限公司,E1,Bicycles,整车品牌馆,E1-0025,official_9
"HANGZHOU HONGXING CHAIN MANUFACTURING CO., LTD.",杭州红星链条制造有限公司,E1,Bicycles,整车品牌馆,E1-0028,official_10
"PINGXIANG COUNTY YIZHE BICYCLE CO., LTD.",平乡县亿浙车业有限公司,E1,Bicycles,整车品牌馆,E1-0029,official_11
"DSK CO., LTD.",东莞市吉全运动器材有限公司,E1,Bicycles,整车品牌馆,E1-0031,official_12
"GIANT CO., LTD.",捷安特投资有限公司【捷安特（昆山）有限公司/鼎镁新材料科技股份有限公司】,E1,Bicycles,整车品牌馆,"E1-0105, E1-0113",official_13
"GUANGZHOU KESPOR BICYCLE CO., LTD.",广州凯斯博自行车有限公司,E1,Bicycles,整车品牌馆,E1-0116,official_14
"TIANJIN LEIFA INDUSTRY AND TRADE CO., LTD.",天津市雷发工贸有限公司,E1,Bicycles,整车品牌馆,E1-0121,official_15
"KOMDA INDUSTRIAL (DONGGUAN) CO., LTD.",东莞镁迪电子有限公司,E1,Bicycles,整车品牌馆,E1-0123,official_16
"SHANGHAI ROLLINGSTONE BICYCLE CO., LTD.",上海唯德自行车有限公司,E1,Bicycles,整车品牌馆,E1-0126,official_17
"HUIZHOU SINBAO BICYCLE CO., LTD.",惠州市信宝自行车有限公司,E1,Bicycles,整车品牌馆,E1-0131,official_18
"HANGZHOU WANGZHENG BICYCLE CO., LTD.",杭州王征车业有限公司,E1,Bicycles,整车品牌馆,E1-0133,official_19
"SHENZHEN LEBYCLE BIKE TECHNOLOGY CO., LTD.",深圳市乐享单车科技有限公司,E1,Bicycles,整车品牌馆,E1-0136,official_20
"TANGSHAN JINTAI METAL PRODUCTS CO., LTD.",唐山市金泰金属制品有限公司,E1,Bicycles,整车品牌馆,E1-0139,official_21
"TIANJIN DONGYA CHAIN CO., LTD.",天津市东亚链条有限公司,E1,Bicycles,整车品牌馆,E1-0142,official_22
"SHANGHAI PHOENIX BICYCLE CO., LTD.",上海凤凰自行车有限公司,E1,Bicycles,整车品牌馆,"E1-0201, W5-0901",official_23
"TIANJIN TIANHENG INTELLIGENT TECHNOLOGY CO., LTD.",天津天恒智能科技有限公司,E1,Bicycles,整车品牌馆,E1-0316,official_24
"DONGGUAN DAIDAILE TECHNOLOGY CO., LTD.",东莞市代戴乐科技有限公司,E1,Bicycles,整车品牌馆,E1-0321,official_25
"TIANJIN DUSHIMA BICYCLE CO., LTD.",天津都市玛科技有限公司,E1,Bicycles,整车品牌馆,E1-0326,official_26
"TIANJIN ANBU CYCLE CO., LTD.",天津安步车业有限公司,E1,Bicycles,整车品牌馆,E1-0331,official_27
"TIANJIN MALEVI SPORTS EQUIPMENT CO., LTD.",天津玛乐维运动器材有限公司,E1,Bicycles,整车品牌馆,E1-0336,official_28
"TIANJIN SHENGRUI BICYCLE CO., LTD.",天津晟瑞自行车有限公司,E1,Bicycles,整车品牌馆,E1-0342,official_29
"HONGRUI TIANCHENG TECHNOLOGY (TIANJIN) CO., LTD.",鸿瑞天成科技（天津）有限公司,E1,Bicycles,整车品牌馆,E1-0345,official_30
"MERIDA BICYCLE (SHANDONG) CO., LTD.",美利达自行车（山东）有限公司,E1,Bicycles,整车品牌馆,E1-0505,official_31
"GUANGZHOU WUYANG BICYCLE CO., LTD.",广州五羊自行车有限公司,E1,Bicycles,整车品牌馆,E1-0511,official_32
"TIANJIN FLYINGPIGEON BICYCLE CO., LTD.",天津飞鸽车业有限公司,E1,Bicycles,整车品牌馆,E1-0516,official_33
"OYAMA TECHNOLOGY (NANTON) CO., LTD.",欧亚马电动科技（江苏）有限公司,E1,Bicycles,整车品牌馆,E1-0521,official_34
YONG QI (CHINA) BICYCLE INDUSTRIAL CORP.,永祺（中国）车业股份有限公司,E1,Bicycles,整车品牌馆,E1-0526,official_35
"SHENZHEN LIZHIXIN TECHNOLOGY CO., LTD.",深圳市笠智鑫科技有限公司,E1,Bicycles,整车品牌馆,E1-0531,official_36
"TIANJIN QIAN JUN BICYCLE CO., LTD.",天津市千钧自行车有限公司,E1,Bicycles,整车品牌馆,E1-0536,official_37
"SHENZHEN PU RUO KEN TECHNOLOGY CO., LTD.",深圳普偌肯科技有限公司,E1,Bicycles,整车品牌馆,E1-0542,official_38
深圳普洛姆运动科技有限公司,深圳普洛姆运动科技有限公司,E1,Bicycles,整车品牌馆,E1-0544,official_39
"SHENZHEN KESPOR BICYCLE CO., LTD. / HUIZHOU KESPOR BICYCLE CO., LTD.",惠州凯斯普瑞自行车有限公司,E1,Bicycles,整车品牌馆,E1-0731,official_40
"TIANJIN ARISE BIKE CO., LTD.",天津市阿琳达运动器材有限公司,E1,Bicycles,整车品牌馆,E1-0736,official_41
"IDEAL (DONGGUAN) BIKE CO., LTD.",爱地雅（东莞）自行车有限公司,E1,Bicycles,整车品牌馆,E1-0742,official_42
DONGGUAN JUSTECH CORPORATION LIMITED,东莞市杰顺车业科技有限公司,E1,Bicycles,整车品牌馆,E1-0745,official_43
"SHANGHAI FOREVER BICYCLE CO., LTD.",上海永久自行车有限公司,E1,Bicycles,整车品牌馆,E1-0901,official_44
"TIANJIN FUJI-TA BICYCLE INDUSTRIAL CO., LTD.",天津富士达自行车工业股份有限公司,E1,Bicycles,整车品牌馆,E1-0905,official_45
"NINGBO XINGLONG BICYCLE CO., LTD.",宁波兴隆巨创机电科技有限公司,E1,Bicycles,整车品牌馆,E1-0916,official_46
"TIANJIN KELIN VEHICLE CO., LTD.",天津科林车业有限公司,E1,Bicycles,整车品牌馆,E1-0921,official_47
"SUZHOU KMC INDUSTRY AND TRADE CO., LTD.",苏州桂盟科恩斯工贸有限公司,E1,Bicycles,整车品牌馆,E1-0926,official_48
"TIANJIN SHENGMEILIN BICYCLE CO., LTD.",天津市盛美林自行车有限公司,E1,Bicycles,整车品牌馆,E1-0931,official_49
GUANGZHOU VIVA BICYCLE CORP. LTD.,广州威华自行车有限公司,E1,Bicycles,整车品牌馆,E1-0936,official_50
"TIANJIN KINGTY BICYCLE CO., LTD.",天津锦泰自行车有限公司,E1,Bicycles,整车品牌馆,E1-0942,official_51
"TIANJIN AOMEI INDUSTRIAL CO., LTD.",天津市奥美工贸有限公司,E1,Bicycles,整车品牌馆,E1-1131,official_52
HANGZHOU GOOD FAITH,杭州名诚贸易有限公司,E1,Bicycles,整车品牌馆,E1-1136,official_53
"DAHON TECH (SHENZHEN) CO., LTD.",大行科工（深圳）股份有限公司,E1,Bicycles,整车品牌馆,"E1-1305, E1-1701",official_54
"TIANJIN AISAIKE BICYCLE CO., LTD.",天津爱赛克车业有限公司,E1,Bicycles,整车品牌馆,E1-1311,official_55
"SHENZHEN SANDINCYCLE CO., LTD.",深圳市三鼎车业有限公司,E1,Bicycles,整车品牌馆,E1-1316,official_56
"HUIZHOU SAVA BICYCLE CO., LTD.",惠州萨瓦自行车有限公司,E1,Bicycles,整车品牌馆,E1-1321,official_57
"TANGSHAN JINHENTONG BICYCLE PARTS CO., LTD.",唐山金亨通车料有限公司,E1,Bicycles,整车品牌馆,E1-1326,official_58
"TIANJIN GAMMA ELECTRIC TECHNOLOGY CO., LTD.",天津捷马电动科技有限公司,E1,Bicycles,整车品牌馆,E1-1331,official_59
"ACETRIKES BICYCLES (ANHUI) CO., LTD.",安徽见诚自行车有限公司,E1,Bicycles,整车品牌馆,E1-1336,official_60
"GUANGZONG TONGFENG CHILDREN'S TOYS CO., LTD.",广宗县童枫儿童玩具有限公司,E1,Bicycles,整车品牌馆,E1-1342,official_61
"TIANJIN SAFEWAY SPORTS CO., LTD.",天津市赛威运动器材有限公司,E1,Bicycles,整车品牌馆,E1-1531,official_62
"TIANJIN SAFEWAY GREEN THEH CO., LTD.",天津市绿之行科技有限公司,E1,Bicycles,整车品牌馆,E1-1534,official_63
"BERNARD (TANGSHAN) TECHNOLGY CO., LTD.",伯纳德（唐山）科技有限公司,E1,Bicycles,整车品牌馆,E1-1536,official_64
"CHENG FENG PRECISION TECHNOLOGY CO., LTD.",诚锋精密科技股份有限公司,E1,Bicycles,整车品牌馆,E1-1542,official_65
