name_en,name_cn,hall,booth,all_booths
"LANXI JIEKE SPORTS APPARATUS MANUFACTURING CO., LTD.",兰溪市捷克运动器材制造有限公司,E1,0001,[E1]0001
REBORN BICYCLE COMPANY LTD.,深圳市松展商贸有限公司,E1,0009,[E1]0009
"NINGBO K.S.D. VEHICLE ACCESSORIES CO., LTD.",宁波市镇海凯盛达车辆配件有限公司,E1,0011,[E1]0011
ANHUI ELITE INDUSTRIAL,安徽易瑞德实业有限公司,E1,0013,[E1]0013
"HEBEI XUHUA BICYCLE CO., LTD.",邢台旭华车业有限公司,E1,0015,[E1]0015
"XINGTAI WEILIAN BICYCLE CO., LTD.",邢台市唯链自行车有限公司,E1,0017,[E1]0017
EAST SUN,同心石（上海）贸易有限公司,E1,0019,[E1]0019
"DONGGUAN ZHIYU TECHNOLOGY CO., LTD.",东莞智宇科技有限公司,E1,0022,[E1]0022
"DFS TECH (SHENZHEN) CO., LTD.",深圳市东升创科技有限公司,E1,0023,[E1]0023
"TIANJIN KEYO BICYCLE CO., LTD.",天津凯欧自行车有限公司,E1,0025,[E1]0025
"HANGZHOU HONGXING CHAIN MANUFACTURING CO., LTD.",杭州红星链条制造有限公司,E1,0028,[E1]0028
"PINGXIANG COUNTY YIZHE BICYCLE CO., LTD.",平乡县亿浙车业有限公司,E1,0029,[E1]0029
"DSK CO., LTD.",东莞市吉全运动器材有限公司,E1,0031,[E1]0031
"GIANT CO., LTD.",捷安特投资有限公司【捷安特（昆山）有限公司/鼎镁新材料科技股份有限公司】,E1,0105,"[E1]0105,[E1]0113"
"GIANT CO., LTD.",捷安特投资有限公司【捷安特（昆山）有限公司/鼎镁新材料科技股份有限公司】,E1,0113,"[E1]0105,[E1]0113"
"GUANGZHOU KESPOR BICYCLE CO., LTD.",广州凯斯博自行车有限公司,E1,0116,[E1]0116
"TIANJIN LEIFA INDUSTRY AND TRADE CO., LTD.",天津市雷发工贸有限公司,E1,0121,[E1]0121
"KOMDA INDUSTRIAL (DONGGUAN) CO., LTD.",东莞镁迪电子有限公司,E1,0123,[E1]0123
"SHANGHAI ROLLINGSTONE BICYCLE CO., LTD.",上海唯德自行车有限公司,E1,0126,[E1]0126
"HUIZHOU SINBAO BICYCLE CO., LTD.",惠州市信宝自行车有限公司,E1,0131,[E1]0131
"HANGZHOU WANGZHENG BICYCLE CO., LTD.",杭州王征车业有限公司,E1,0133,[E1]0133
"SHENZHEN LEBYCLE BIKE TECHNOLOGY CO., LTD.",深圳市乐享单车科技有限公司,E1,0136,[E1]0136
"TANGSHAN JINTAI METAL PRODUCTS CO., LTD.",唐山市金泰金属制品有限公司,E1,0139,[E1]0139
"TIANJIN DONGYA CHAIN CO., LTD.",天津市东亚链条有限公司,E1,0142,[E1]0142
"SHANGHAI PHOENIX BICYCLE CO., LTD.",上海凤凰自行车有限公司,E1,0201,"[E1]0201,[W5]0901"
"SHANGHAI PHOENIX BICYCLE CO., LTD.",上海凤凰自行车有限公司,W5,0901,"[E1]0201,[W5]0901"
"TIANJIN TIANHENG INTELLIGENT TECHNOLOGY CO., LTD.",天津天恒智能科技有限公司,E1,0316,[E1]0316
"DONGGUAN DAIDAILE TECHNOLOGY CO., LTD.",东莞市代戴乐科技有限公司,E1,0321,[E1]0321
"TIANJIN DUSHIMA BICYCLE CO., LTD.",天津都市玛科技有限公司,E1,0326,[E1]0326
"TIANJIN ANBU CYCLE CO., LTD.",天津安步车业有限公司,E1,0331,[E1]0331
"TIANJIN MALEVI SPORTS EQUIPMENT CO., LTD.",天津玛乐维运动器材有限公司,E1,0336,[E1]0336
"TIANJIN SHENGRUI BICYCLE CO., LTD.",天津晟瑞自行车有限公司,E1,0342,[E1]0342
"HONGRUI TIANCHENG TECHNOLOGY (TIANJIN) CO., LTD.",鸿瑞天成科技（天津）有限公司,E1,0345,[E1]0345
"MERIDA BICYCLE (SHANDONG) CO., LTD.",美利达自行车（山东）有限公司,E1,0505,[E1]0505
"GUANGZHOU WUYANG BICYCLE CO., LTD.",广州五羊自行车有限公司,E1,0511,[E1]0511
"TIANJIN FLYINGPIGEON BICYCLE CO., LTD.",天津飞鸽车业有限公司,E1,0516,[E1]0516
"OYAMA TECHNOLOGY (NANTON) CO., LTD.",欧亚马电动科技（江苏）有限公司,E1,0521,[E1]0521
YONG QI (CHINA) BICYCLE INDUSTRIAL CORP.,永祺（中国）车业股份有限公司,E1,0526,[E1]0526
"SHENZHEN LIZHIXIN TECHNOLOGY CO., LTD.",深圳市笠智鑫科技有限公司,E1,0531,[E1]0531
"TIANJIN QIAN JUN BICYCLE CO., LTD.",天津市千钧自行车有限公司,E1,0536,[E1]0536
"SHENZHEN PU RUO KEN TECHNOLOGY CO., LTD.",深圳普偌肯科技有限公司,E1,0542,[E1]0542
